name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-10-3	1.0	1.33	14.0	1	119.0	275	0.0	0.0879	38.0	275.00
poi-10-3	1.0	1.33	14.0	2	59.0	0	inf	0.0017	0.0	-inf
poi-10-3	1.0	1.33	14.0	2	119.0	295	0.0	0.1353	24.0	295.00
poi-10-3	1.0	1.33	14.0	3	59.0	0	inf	0.0014	0.0	-inf
poi-10-3	1.0	1.33	14.0	3	119.0	295	0.0	0.1411	36.0	295.00
poi-10-3	1.0	1.33	28.0	1	59.0	0	inf	0.0022	0.0	-inf
poi-10-3	1.0	1.33	28.0	1	119.0	295	0.0	0.1618	14.0	295.00
poi-10-3	1.0	1.33	28.0	2	59.0	0	inf	0.0023	0.0	-inf
poi-10-3	1.0	1.33	28.0	2	119.0	301	0.0	0.2665	40.0	301.00
poi-10-3	1.0	1.33	28.0	3	59.0	0	inf	0.0020	0.0	-inf
poi-10-3	1.0	1.33	28.0	3	119.0	307	0.0	0.4875	11.0	307.00
poi-10-3	2.0	0.67	14.0	1	59.0	0	inf	0.0012	0.0	-inf
poi-10-3	2.0	0.67	14.0	1	119.0	243	0.0	0.3474	6.0	243.00
poi-10-3	2.0	0.67	14.0	2	59.0	0	inf	0.0017	0.0	-inf
poi-10-3	2.0	0.67	14.0	2	119.0	243	0.0	0.0663	8.0	243.00
poi-10-3	2.0	0.67	14.0	3	59.0	0	inf	0.0013	0.0	-inf
poi-10-3	2.0	0.67	14.0	3	119.0	243	0.0	0.2147	7.0	243.00
poi-10-3	2.0	0.67	28.0	1	59.0	0	inf	0.0011	0.0	-inf
poi-10-3	2.0	0.67	28.0	1	119.0	243	0.0	0.0628	11.0	243.00
poi-10-3	2.0	0.67	28.0	2	59.0	0	inf	0.0014	0.0	-inf
poi-10-3	2.0	0.67	28.0	2	119.0	243	0.0	0.1366	12.0	243.00
poi-10-3	2.0	0.67	28.0	3	59.0	0	inf	0.0034	0.0	-inf
poi-10-3	2.0	0.67	28.0	3	119.0	243	0.0	0.0908	10.0	243.00
poi-10-3	2.0	1.0	14.0	1	59.0	0	inf	0.0008	0.0	-inf
poi-10-3	2.0	1.0	14.0	1	119.0	243	0.0	0.0711	13.0	243.00
poi-10-3	2.0	1.0	14.0	2	59.0	0	inf	0.0011	0.0	-inf
