InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-125-3	1	1	25	1	156	3108	58.0724268	977	10.0534349	337344229	243318683
r-125-3	1	1	25	1	312	5135	524.199524	6979	307.391892	1402435872	1757315461
r-125-3	1	1	25	2	156	3512	148.1465057	2975	55.567056	324179518	1229283294
r-125-3	1	1	25	2	312	5481	1349.4117599	9977	908.8523524	1167231038	-296691653
r-125-3	1	1	25	3	156	3684	402.1509989	8036	249.7753156	384741911	-1046237033
r-125-3	1	1	25	3	312	5830	1841.6955995	6373	1036.0392364	606065689	1271695740
r-125-4	1	1	12	1	166	3125	68.6425909	5732	37.0113561	738494546	53469739
r-125-4	1	1	12	1	332	5179	294.8481947	7232	174.5078098	1717985226	209877086
r-125-4	1	1	12	2	166	3496	134.2296332	14268	98.8555029	1060408445	298977821
r-125-4	1	1	12	2	332	5477	407.4582322	11578	283.828317	1861844016	891108567
r-125-4	1	1	12	3	166	3539	69.4660702	4507	32.2542185	450317912	234587155
r-125-4	1	1	12	3	332	5518	335.801027	8208	210.3100751	1260983847	1138902914
r-125-4	1	1	25	1	166	3265	138.1702727	7349	82.3007421	783985992	558681339
r-125-4	1	1	25	1	332	5287	457.83387	4045	202.6278702	1110721138	1449087729
r-125-4	1	1	25	2	166	3509	131.3657	1211	24.6436364	271266295	1080961740
r-125-4	1	1	25	2	332	5528	1377.9653238	7466	818.4167292	1020195493	-703304993
r-125-4	1	1	25	3	166	3707	270.9613789	1637	64.1065301	217224245	1971181313
r-125-4	1	1	25	3	332	5688	3412.5996227	12140	2419.9961083	964323061	-15961439
r-125-5	1	1	13	1	157	3047	83.1988608	10721	56.6674743	922873535	67704261
r-125-5	1	1	13	1	314	5463	246.424879	5104	124.1887471	1321538005	205809429
r-125-5	1	1	13	2	157	3309	35.2508812	1233	6.6877647	280799242	82236599
r-125-5	1	1	13	2	314	5925	460.2037077	12505	328.365567	1765390114	1068344274
r-125-5	1	1	13	3	157	3434	42.6900102	2214	12.6473927	283939522	148737538
r-125-5	1	1	13	3	314	6106	459.1000493	11762	322.4333672	1438102187	1652019185
r-125-5	1	1	26	1	157	2991	66.0215171	2944	24.3633466	421597133	277318013
r-125-5	1	1	26	1	314	5593	620.5979158	8849	395.2735669	1622544834	-2092150091
r-125-5	1	1	26	2	157	3323	132.8142028	4016	58.6013813	338057673	1085922720
r-125-5	1	1	26	2	314	6011	976.453129	6056	529.6539093	887703954	1568885365
r-125-5	1	1	26	3	157	3724	411.2996692	12869	294.8564982	503245403	-747175673
r-125-5	1	1	26	3	314	6298	2852.6111227	12341	2028.983156	1000054008	2050398861
r-150-1	1	1	12	1	170	3624	144.1457796	8430	90.5197319	1332022929	113386402
r-150-1	1	1	12	1	340	6634	833.3498873	11643	583.5582758	-453148332	535300704
r-150-1	1	1	12	2	170	3950	140.9265499	7085	82.4011094	938092352	301243990
r-150-1	1	1	12	2	340	7028	862.6511309	11900	605.606503	-1431415277	1675068102
r-150-1	1	1	12	3	170	4314	212.0959163	12153	149.845808	1148807244	678365278
r-150-1	1	1	12	3	340	7305	701.2926648	8416	434.8190276	1989661153	2114797174
r-150-1	1	1	25	1	170	3758	107.9288426	1102	18.6152551	558871702	428334582
r-150-1	1	1	25	1	340	6705	1848.5576669	13071	1320.7453382	-729435920	969881509
r-150-1	1	1	25	2	170	4106	252.2614027	2889	91.214879	498808220	1902547088
r-150-1	1	1	25	2	340	7110	2745.4792191	7457	1584.8635019	1639178704	-510808298
r-150-1	1	1	25	3	170	4399	517.3526048	2970	190.1109661	367231771	-1130367834
r-150-1	1	1	25	3	340	7544	4322.6171673	7050	2453.4140466	1101547977	1579785561
r-150-2	1	1	12	1	155	3519	78.8586698	2424	26.0978787	735142256	63059376
r-150-2	1	1	12	1	311	6327	713.8193539	10054	476.6725651	-1069970015	534100059
r-150-2	1	1	12	2	155	3981	103.8082037	3942	44.9513715	690940682	244008879
r-150-2	1	1	12	2	311	6771	496.837161	4892	242.0478131	1698907298	1094588140
r-150-2	1	1	12	3	155	4063	137.4319334	6414	76.0444305	757258673	485531542
r-150-2	1	1	12	3	311	6997	834.2137991	10895	569.3580103	-1963801344	-1458733827
r-150-2	1	1	24	1	155	3513	127.622135	3020	46.4879298	725166273	474249230
r-150-2	1	1	24	1	311	6345	800.5787392	3427	316.3475935	1677455814	-2075938960
r-150-2	1	1	24	2	155	3976	249.9279341	3811	106.664672	556821659	1922856669
r-150-2	1	1	24	2	311	6882	1591.2472108	2191	473.23204	928453007	-1272785503
r-150-2	1	1	24	3	155	4371	718.697929	8237	444.8748508	620927671	418684921
r-150-2	1	1	24	3	311	7223	2786.8490738	2864	996.2466744	736066791	-773573403
r-150-3	1	1	12	1	170	3728	86.5657039	2009	25.6884276	728173746	78922128
r-150-3	1	1	12	1	340	6250	586.1460227	6150	332.0354397	-1855344059	450879252
r-150-3	1	1	12	2	170	4009	183.094636	8288	113.8087419	1065942610	467085511
r-150-3	1	1	12	2	340	6492	628.1378916	6638	360.7019033	1897312304	1478586290
r-150-3	1	1	12	3	170	4189	83.6498338	718	10.2681045	364641206	324213091
r-150-3	1	1	12	3	340	6734	904.4570827	11294	628.5000129	-2082703770	-1015181241
r-150-3	1	1	25	1	170	3728	125.3878667	115	2.9509293	498726790	497615379
r-150-3	1	1	25	1	340	6303	1690.118213	8533	1058.6049175	-1548320215	348351798
r-150-3	1	1	25	2	170	3902	674.5699723	6563	378.150601	793742453	-103602474
r-150-3	1	1	25	2	340	6661	5217.4602633	10389	3490.1800727	1999504971	-785366991
r-150-3	1	1	25	3	170	4319	1510.8918968	8082	937.7110357	651043610	-599160193
r-150-3	1	1	25	3	340	6930	4053.6447403	2633	1370.1172297	671951561	-952620996
r-150-4	1	1	12	1	172	3984	159.6854482	7143	98.3548747	1315221908	150064969
r-150-4	1	1	12	1	345	6650	313.0245005	846	46.853879	1236965655	245175346
r-150-4	1	1	12	2	172	4258	223.8522623	9174	150.9810966	1275609559	587950912
r-150-4	1	1	12	2	345	7041	629.8781668	5969	341.151911	1871748836	1487629970
r-150-4	1	1	12	3	172	4693	243.2721939	9923	164.7166196	1072028812	930661153
r-150-4	1	1	12	3	345	7204	823.8147651	8647	521.3169956	1986047054	-1268803692
r-150-4	1	1	24	1	172	3845	195.3884597	3604	82.6742107	841871875	729009386
r-150-4	1	1	24	1	345	6712	1693.1504425	10033	1120.1619401	-1251257639	315003205
r-150-4	1	1	24	2	172	4372	577.2589069	5142	308.4372922	738083559	-704270855
r-150-4	1	1	24	2	345	7135	3137.35552	5519	1631.5814077	1431245732	-59568179
r-150-4	1	1	24	3	172	4728	1161.9568882	5953	643.063575	571010744	2014392523
r-150-4	1	1	24	3	345	7356	6683.8497302	8683	4224.0449059	1260590565	1270271922
r-150-5	1	1	12	1	174	3992	64.9837312	373	4.3585996	557133060	54300975
r-150-5	1	1	12	1	348	6845	440.6938464	4121	199.0814506	2060414449	293937730
r-150-5	1	1	12	2	174	4462	176.9087753	8455	110.1361523	1134325120	403815923
r-150-5	1	1	12	2	348	7407	860.5674945	12035	605.3731761	-1333372938	1777216602
r-150-5	1	1	12	3	174	4907	176.6818687	7787	106.9567198	919804903	611783792
r-150-5	1	1	12	3	348	7579	618.8417541	7000	359.9061671	1761391679	1987824281
r-150-5	1	1	25	1	174	4111	384.8790033	12628	275.196674	1718783281	1483241336
r-150-5	1	1	25	1	348	6899	940.800226	3693	388.948144	1720062818	-1697948726
r-150-5	1	1	25	2	174	4641	468.5191225	5050	234.7099162	672967019	-1130942300
r-150-5	1	1	25	2	348	7531	3603.3045848	8358	2228.8402046	1739976318	-2051360789
r-150-5	1	1	25	3	174	4871	832.9005781	3705	357.1736898	442383842	348772370
r-150-5	1	1	25	3	348	7826	6053.4539436	8738	3811.8162316	1307882084	-891933665
AverageObj: 4179.87, IterToBest: 6026.57, TimeToBest: 254.74
